"body","entityname","userid","username","createdAt","entityName","address","city","country","state"
"☕🍪☺","Stumptown Coffee Roasters","10155200088205955","Ranjitha Kumar","2017-09-05 15:52:01.071+00","Stumptown Coffee Roasters","30 West 8th Street, New York","New York","United States","New York"
"😍🙌🍚🍣🐟","Aloha Poke co.","878293195646842","Joe Higgs","2017-09-07 01:39:13.792+00","Aloha Poke co.","131 North Clinton Street, Chicago","Chicago","United States","Illinois"
"💇👍😍","Ritual Salon","10211909841598672","Cynthia J Coleman","2017-09-07 21:01:25.261+00","Ritual Salon","804 East Main Street, Urbana","Urbana","United States","Illinois"
"🇲🇽🌮👌😣😬","Maize Mexican Grill","1361942793868970","Konstantinos Koiliaris","2017-09-08 20:17:19.068+00","Maize Mexican Grill","60 East Green Street, Champaign","Champaign","United States","Illinois"
"🐔🍟😍","Black Dog Smoke & Ale House","10155200088205955","Ranjitha Kumar","2017-09-11 00:29:09.8+00","Black Dog Smoke & Ale House","320 North Chestnut Street, Champaign","Champaign","United States","Illinois"
"💪🌿","sweetgreen","1517874618267474","Supriya Khandekar","2017-09-11 03:02:12.875+00","sweetgreen","2460 Broadway, New York","New York","United States","New York"
"🍣😐","Harvest Market","10155200088205955","Ranjitha Kumar","2017-09-12 02:47:45.485+00","Harvest Market","2029 South Neil Street, Champaign","Champaign","United States","Illinois"
"🌃🕯📝⏳😨","Live Latitude","1361942793868970","Konstantinos Koiliaris","2017-09-13 07:11:54.855+00","Live Latitude","608 East University Avenue, Champaign","Champaign","United States","Illinois"
"🙅‍♂️🚼🕓","Live Latitude","1361942793868970","Konstantinos Koiliaris","2017-09-14 08:14:22.244+00","Live Latitude","608 East University Avenue, Champaign","Champaign","United States","Illinois"
"🙄⏱⏱⏱⏱","Pastoral Artisan Cheese, Bread & Wine (French Market)","878293195646842","Joe Higgs","2017-09-15 01:05:34.362+00","Pastoral Artisan Cheese, Bread & Wine (French Market)","131 North Clinton Street, Chicago","Chicago","United States","Illinois"
"🌮😍🙏","Wedge Bar","10214564776338222","Alex Senak","2017-09-15 03:50:20.08+00","Wedge Bar","415 North Neil Street, Champaign","Champaign","United States","Illinois"
"👍🍛👌🇮🇳","Bollywood Biryani","794492160751553","Wyndham Batchelor","2017-09-15 04:46:33.903+00","Bollywood Biryani","8270 Griffin Road, Davie","Davie","United States","Florida"
"🏃‍♀️🏋️‍♀️💪😅","Charter Fitness of Urbana","10155200088205955","Ranjitha Kumar","2017-09-22 01:35:34.941+00","Charter Fitness of Urbana","300 Broadway Avenue, Urbana","Urbana","United States","Illinois"
"🐐🧀🍞🍅😍","Urbana's Market at the Square","10155200088205955","Ranjitha Kumar","2017-09-23 23:47:27.83+00","Urbana's Market at the Square","401 South Vine Street, Urbana","Urbana","United States","Illinois"
"😍🍳🍷🌞💃","Radio Maria","1659104244102907","Dayana Edat","2017-09-24 18:21:35.962+00","Radio Maria","119 North Walnut Street, Champaign","Champaign","United States","Illinois"
"🍞☕👌❤","Pekara Bakery & Bistro","10214564776338222","Alex Senak","2017-09-24 18:53:32.619+00","Pekara Bakery & Bistro","116 North Neil Street, Champaign","Champaign","United States","Illinois"
"🔥🍉🌮💯","Maize Mexican Grill","10155798357876617","Berk Serbetcioglu","2017-09-27 13:40:42.679+00","Maize Mexican Grill","60 East Green Street, Champaign","Champaign","United States","Illinois"
"😍🌯🍚👌🔥","Chipotle Mexican Grill","10203939764651022","Vincent Chang","2017-09-27 19:46:00+00","Chipotle Mexican Grill","528 East Green Street #101, Champaign","Champaign","United States","Illinois"
"🍖🍝🍛🍰👋","Ikenberry Dining Center","10203939764651022","Vincent Chang","2017-09-27 19:50:23.601+00","Ikenberry Dining Center","301 East Gregory Drive, Champaign","Champaign","United States","Illinois"
"🌮👌🌶👌🔥","Maize Mexican Grill","10203939764651022","Vincent Chang","2017-09-27 21:40:34.041+00","Maize Mexican Grill","60 East Green Street, Champaign","Champaign","United States","Illinois"
"🍗🐔🙆‍♂️👅🙏","Chick-fil-A at Melrose Park","10212778151718277","Steven Mendez","2017-09-27 23:59:56.271+00","Chick-fil-A at Melrose Park","2 Winston Plaza, Melrose Park","Melrose Park","United States","Illinois"
"😍🐔😋🔥🔥","Piato Catering","10203939764651022","Vincent Chang","2017-09-29 19:10:29.939+00","Piato Catering","300 South Broadway Avenue, Urbana","Urbana","United States","Illinois"
"🍚🌶😕🙅‍♂️","Red Hot Chilli Pepper","10203814544039457","James Childress","2017-09-29 20:07:55.703+00","Red Hot Chilli Pepper","1125 San Carlos Avenue, San Carlos","San Carlos","United States","California"
"🇮🇳😋🔥👌👌","The Himalayan Chimney","10203939764651022","Vincent Chang","2017-09-30 00:08:42.763+00","The Himalayan Chimney","134 West Church Street, Champaign","Champaign","United States","Illinois"
"🐓😬😖","Lao sze chuan","10155200088205955","Ranjitha Kumar","2017-09-30 00:23:15.994+00","Lao sze chuan","608 East University Avenue ste. 105, Champaign","Champaign","United States","Illinois"
"🐔🍔🍹😍","Roister Restaurant","10155200088205955","Ranjitha Kumar","2017-09-30 21:40:52.396+00","Roister Restaurant","951 West Fulton Market, Chicago","Chicago","United States","Illinois"
"🍹🍍😌","North Shore Distillery, LLC","10155200088205955","Ranjitha Kumar","2017-09-30 23:44:45.172+00","North Shore Distillery, LLC","13990 Rockland Road, Libertyville","Lake Bluff","United States","Illinois"
"😌😴🌌🌄🌲","Cottages at Point Reyes Seashore","10203814544039457","James Childress","2017-10-01 04:28:18.262+00","Cottages at Point Reyes Seashore","13275 Sir Francis Drake Boulevard, Inverness","Inverness","United States","California"
"🌮🌶🐓😋","Maize at the Station","157924978075040","Kala Shivaramaiah","2017-10-04 20:58:49.321+00","Maize at the Station","100 North Chestnut Street, Champaign","Champaign","United States","Illinois"
"🍰😃","The Cake Artist's Studio","157924978075040","Kala Shivaramaiah","2017-10-06 20:06:12.135+00","The Cake Artist's Studio","1100 West Bloomington Road B, Champaign","Champaign","United States","Illinois"
"🍜😍","Lao sze chuan","10212886863311893","Sujay Khandekar","2017-10-09 07:41:54.445+00","Lao sze chuan","608 East University Avenue ste. 105, Champaign","Champaign","United States","Illinois"
"🍜👨🍲👱‍♀️😍","Pho Cafe Thai Kitchen","10212886863311893","Sujay Khandekar","2017-10-11 07:21:17.341+00","Pho Cafe Thai Kitchen","611 East Green Street, Champaign","Champaign","United States","Illinois"
"🙏🤙💸💸💸","Thomas M. Siebel Center for Computer Science","10212886863311893","Sujay Khandekar","2017-10-11 15:51:47.826+00","Thomas M. Siebel Center for Computer Science","201 North Goodwin Avenue, Urbana","Urbana","United States","Illinois"
"😐🍚🍗","Mezza Mediterranean Grill","878293195646842","Joe Higgs","2017-10-12 22:47:48.74+00","Mezza Mediterranean Grill","2 North Riverside Plaza #204, Chicago","Chicago","United States","Illinois"
"🔋🔋🔋","GNC","878293195646842","Joe Higgs","2017-10-12 22:49:03.444+00","GNC","500 West Madison Street, Chicago","Chicago","United States","Illinois"
"😍🍉🧀🌮🥗","Radio Maria","10203191900074104","Sunil Khandekar","2017-10-13 02:06:19.353+00","Radio Maria","119 North Walnut Street, Champaign","Champaign","United States","Illinois"
"😀🌮🍤🌶","Wedge Bar","10203191900074104","Sunil Khandekar","2017-10-15 02:23:46.072+00","Wedge Bar","415 North Neil Street, Champaign","Champaign","United States","Illinois"
"🌶🔥🐔🍛😌","Lao sze chuan","100162404055730","Opico Alpaca","2017-10-19 15:42:04.466+00","Lao sze chuan","608 East University Avenue ste. 105, Champaign","Champaign","United States","Illinois"
"🍰🍳🕓🌃😍","Perkins Restaurant & Bakery","100162404055730","Opico Alpaca","2017-10-19 15:48:54.904+00","Perkins Restaurant & Bakery","1214 West University Avenue, Urbana","Urbana","United States","Illinois"
"😳🍔🍟🌚😅","Burger King","100162404055730","Opico Alpaca","2017-10-19 15:52:03.72+00","Burger King","1106 West University Avenue, Urbana","Urbana","United States","Illinois"
"🌌🐔🍚🤓😴","Cravings","100162404055730","Opico Alpaca","2017-10-19 15:53:48.98+00","Cravings","603 South Wright Street, Champaign","Champaign","United States","Illinois"
"☺🐐😍🍚🌶","Ambar India Restaurant","100162404055730","Opico Alpaca","2017-10-19 15:56:10.396+00","Ambar India Restaurant","605 South Wright Street, Champaign","Champaign","United States","Illinois"
"🥗🍇🤑🤤❤","Salad Meister","100162404055730","Opico Alpaca","2017-10-19 16:23:06.212+00","Salad Meister","601 South 6th Street Suite 104, Champaign","Champaign","United States","Illinois"
"🥗🍲🍩😇😍","Panera Bread","100162404055730","Opico Alpaca","2017-10-19 16:25:01.652+00","Panera Bread","616 East Green Street, Champaign","Champaign","United States","Illinois"
"🇹🇭🍛🍝👍😍","Siam Terrace","100162404055730","Opico Alpaca","2017-10-19 17:27:59.986+00","Siam Terrace","212 West Main Street, Urbana","Urbana","United States","Illinois"
"🍻🍗🍚⛱😍","DESTIHL Restaurant & Brew Works","100162404055730","Opico Alpaca","2017-10-19 17:33:03.037+00","DESTIHL Restaurant & Brew Works","301 North Neil Street, Champaign","Champaign","United States","Illinois"
"🍗🍖🍠🔥😁","Black Dog Smoke & Ale House","100162404055730","Opico Alpaca","2017-10-19 17:36:15.667+00","Black Dog Smoke & Ale House","201 North Broadway Avenue, Urbana","Urbana","United States","Illinois"
"🍱🍣🎎💯💝","Sushi Kame","100162404055730","Opico Alpaca","2017-10-19 17:38:08.582+00","Sushi Kame","132 West Church Street, Champaign","Champaign","United States","Illinois"
"🍟🍖☘🍺😍","Dublin O'Neil's","100162404055730","Opico Alpaca","2017-10-19 17:44:24.277+00","Dublin O'Neil's","301 North Neil Street, Champaign","Champaign","United States","Illinois"
"😍🤤🐷🍚🍜","Pho Cafe Thai Kitchen","100162404055730","Opico Alpaca","2017-10-20 20:28:38.553+00","Pho Cafe Thai Kitchen","611 East Green Street, Champaign","Champaign","United States","Illinois"
"🍚🍜🐷🐣😍","Bangkok Thai Restaurant & Pho 911","100162404055730","Opico Alpaca","2017-10-20 20:31:47.107+00","Bangkok Thai Restaurant & Pho 911","410 East Green Street, Champaign","Champaign","United States","Illinois"
"😍🤤🙌🍵🍮","Latea Bubble Tea Lounge","100162404055730","Opico Alpaca","2017-10-20 20:33:29.277+00","Latea Bubble Tea Lounge","601 South 6th Street #105, Champaign","Champaign","United States","Illinois"
"😍💪🥗🥑😍","Salad Meister","100162404055730","Opico Alpaca","2017-10-20 20:34:47.789+00","Salad Meister","601 South 6th Street Suite 104, Champaign","Champaign","United States","Illinois"
"🇰🇷🍙🐣🐮😍","Jip Bap","100162404055730","Opico Alpaca","2017-10-20 20:37:17.216+00","Jip Bap","601 South 6th Street Suite 101, Champaign","Champaign","United States","Illinois"
"🎱","Illini Union","10212886863311893","Sujay Khandekar","2017-10-20 22:43:14.833+00","Illini Union","1401 West Green Street, Urbana","Urbana","United States","Illinois"
"👵☺🍳🥓🥞","Merry Ann's Diner (on Campus)","100162404055730","Opico Alpaca","2017-10-21 16:57:00.199+00","Merry Ann's Diner (on Campus)","701 South Gregory Street c, Urbana","Urbana","United States","Illinois"
"🥙🍔⚜😀","Seven Saints","10212886863311893","Sujay Khandekar","2017-10-23 07:50:43.876+00","Seven Saints","32 East Chester Street, Champaign","Champaign","United States","Illinois"
"😍🍔🥗🥑🤤","Seven Saints","100162404055730","Opico Alpaca","2017-10-23 18:02:27.771+00","Seven Saints","32 East Chester Street, Champaign","Champaign","United States","Illinois"
"🤤😍🍕💯🎉","Pizzeria Antica","100162404055730","Opico Alpaca","2017-10-23 18:04:01.164+00","Pizzeria Antica","10 East Chester Street, Champaign","Champaign","United States","Illinois"
"😍🤤🍫🍦🍨","Paris super crepe","100162404055730","Opico Alpaca","2017-10-23 18:04:52.499+00","Paris super crepe","601 South 6th Street suite 106, Champaign","Champaign","United States","Illinois"
"😍🥙🌮💥🤤","Maize Mexican Grill","100162404055730","Opico Alpaca","2017-10-23 18:05:43.329+00","Maize Mexican Grill","60 East Green Street, Champaign","Champaign","United States","Illinois"
"🤤😍🐷🍚🍛","Golden Harbor Authentic Chinese Cuisine","100162404055730","Opico Alpaca","2017-10-23 18:06:49.26+00","Golden Harbor Authentic Chinese Cuisine","505 South Neil Street, Champaign","Champaign","United States","Illinois"
"😱🍙🍣🍝🤤","Miga","100162404055730","Opico Alpaca","2017-10-23 18:08:59.011+00","Miga","M2 on Neil Street, 301 North Neil Street #104, Champaign","Champaign","United States","Illinois"
"😍🤤🥘🐐🇮🇳","The Himalayan Chimney","100162404055730","Opico Alpaca","2017-10-23 18:10:13.11+00","The Himalayan Chimney","134 West Church Street, Champaign","Champaign","United States","Illinois"
"😍🤑🍥🍣🍙","Sakanaya Restaurant","100162404055730","Opico Alpaca","2017-10-23 18:11:05.589+00","Sakanaya Restaurant","403 East Green Street, Champaign","Champaign","United States","Illinois"
"😦🤤🐷🐟😍","Black Dog Smoke & Ale House","100162404055730","Opico Alpaca","2017-10-23 18:12:00.145+00","Black Dog Smoke & Ale House","320 North Chestnut Street, Champaign","Champaign","United States","Illinois"
"😍💥🍔🍳🤤","Radio Maria","100162404055730","Opico Alpaca","2017-10-23 18:18:54.566+00","Radio Maria","119 North Walnut Street, Champaign","Champaign","United States","Illinois"
"😍🐮🌿🐟🤤","Hamilton Walker's","100162404055730","Opico Alpaca","2017-10-23 18:21:49.7+00","Hamilton Walker's","201 North Neil Street, Champaign","Champaign","United States","Illinois"
"🤗😍🍩☕🍵","Aroma Cafe","100162404055730","Opico Alpaca","2017-10-23 18:23:58.248+00","Aroma Cafe","118 North Neil Street, Champaign","Champaign","United States","Illinois"
"😍😍🍩🍰🤤","Pekara Bakery & Bistro","100162404055730","Opico Alpaca","2017-10-23 18:24:54.641+00","Pekara Bakery & Bistro","116 North Neil Street, Champaign","Champaign","United States","Illinois"
"😍🤤🌮🌯🐣","Dos Reales Mexican Restaurant","100162404055730","Opico Alpaca","2017-10-23 18:25:55.294+00","Dos Reales Mexican Restaurant","1407 North Prospect Avenue, Champaign","Champaign","United States","Illinois"
"😍😍👩‍❤️‍👨💥🍿","The ART Theater Co-op","100162404055730","Opico Alpaca","2017-10-23 18:27:36.057+00","The ART Theater Co-op","126 West Church Street, Champaign","Champaign","United States","Illinois"
"😍🥃🍷🍺😊","Legends","100162404055730","Opico Alpaca","2017-10-23 18:29:44.908+00","Legends","522 East Green Street, Champaign","Champaign","United States","Illinois"
"😊🥑🐟🥖🧀","SUBWAY®Restaurants","100162404055730","Opico Alpaca","2017-10-23 18:46:33.877+00","SUBWAY®Restaurants","616 East Green Street Suite A, Champaign","Champaign","United States","Illinois"
"😖😞🍚🍜🤢","Chopstix","100162404055730","Opico Alpaca","2017-10-23 18:49:38.143+00","Chopstix","202 East Green Street Suite 1, Champaign","Champaign","United States","Illinois"
"🤗🏅💻📓📈","Illini Union","100162404055730","Opico Alpaca","2017-10-23 18:59:04.814+00","Illini Union","1401 West Green Street, Urbana","Urbana","United States","Illinois"
"😍🙌👨‍🏫💻","Thomas M. Siebel Center for Computer Science","100162404055730","Opico Alpaca","2017-10-23 18:59:47.863+00","Thomas M. Siebel Center for Computer Science","201 North Goodwin Avenue, Urbana","Urbana","United States","Illinois"
"😍👨‍💻☕🍪","Hammerhead Coffee","100162404055730","Opico Alpaca","2017-10-23 19:01:24.745+00","Hammerhead Coffee","608 East University Avenue, Champaign","Champaign","United States","Illinois"
"🤗😍👨‍💻🍩☕","Caffe Paradiso","100162404055730","Opico Alpaca","2017-10-23 19:02:14.617+00","Caffe Paradiso","801 South Lincoln Avenue, Urbana","Urbana","United States","Illinois"
"😡😒😣😠","Burnham 310","100162404055730","Opico Alpaca","2017-10-23 19:05:09.196+00","Burnham 310","310 East Springfield Avenue, Champaign","Champaign","United States","Illinois"
"☺😧😻🐣🐷","Chipotle Mexican Grill","100162404055730","Opico Alpaca","2017-10-23 19:07:30.43+00","Chipotle Mexican Grill","528 East Green Street #101, Champaign","Champaign","United States","Illinois"
"😍🤘🙌👕🤗","Weiskamp Screen Printing","100162404055730","Opico Alpaca","2017-10-23 19:08:44.493+00","Weiskamp Screen Printing","312 South Neil Street, Champaign","Champaign","United States","Illinois"
"🤓👩‍💻👨‍💻📖📒","Undergraduate Library","100162404055730","Opico Alpaca","2017-10-23 19:21:16.824+00","Undergraduate Library","1402 West Gregory Drive, Urbana","Urbana","United States","Illinois"
"🎶🔊🍻🥃🤢","The Red Lion","100162404055730","Opico Alpaca","2017-10-23 20:12:44.023+00","The Red Lion","211 East Green Street, Champaign","Champaign","United States","Illinois"
"🍗🥃🍻👥💯","Brothers Bar & Grill","100162404055730","Opico Alpaca","2017-10-23 20:14:35.072+00","Brothers Bar & Grill","613 East Green Street, Champaign","Champaign","United States","Illinois"
"🍺😷🤣🕺👩‍❤️‍💋‍👨","Kam's","100162404055730","Opico Alpaca","2017-10-25 18:23:18.751+00","Kam's","618 East Daniel Street, Champaign","Champaign","United States","Illinois"
"🤑🤑","Burger King","10212886863311893","Sujay Khandekar","2017-10-27 19:29:01.692+00","Burger King","1106 West University Avenue, Urbana","Urbana","United States","Illinois"
"😍🐔🌶🥚🍚","Lao sze chuan","10212886863311893","Sujay Khandekar","2017-10-28 03:00:18.922+00","Lao sze chuan","608 East University Avenue ste. 105, Champaign","Champaign","United States","Illinois"
"👫🕔🍕😐","Papa Del's","115361705896308","Jerry Talton","2017-10-28 05:46:44.697+00","Papa Del's","1201 South Neil Street, Champaign","Champaign","United States","Illinois"
"☕🎩👍🤤","Hammerhead Coffee","115361705896308","Jerry Talton","2017-10-28 05:50:25.812+00","Hammerhead Coffee","608 East University Avenue, Champaign","Champaign","United States","Illinois"
"🍫🍫🍫☕🤤","Pekara Bakery & Bistro","115361705896308","Jerry Talton","2017-10-28 16:02:00.357+00","Pekara Bakery & Bistro","116 North Neil Street, Champaign","Champaign","United States","Illinois"
"🥐🍩🤤","Pekara Bakery & Bistro","10155200088205955","Ranjitha Kumar","2017-10-28 16:20:24.456+00","Pekara Bakery & Bistro","116 North Neil Street, Champaign","Champaign","United States","Illinois"
"🍣👍🐔🥗😊","Harvest Market","10155200088205955","Ranjitha Kumar","2017-10-28 16:37:56.816+00","Harvest Market","2029 South Neil Street, Champaign","Champaign","United States","Illinois"
"🍰🍪🍨☕🤤","Cream & Flutter","10155200088205955","Ranjitha Kumar","2017-10-29 14:29:55.981+00","Cream & Flutter","114 North Walnut Street, Champaign","Champaign","United States","Illinois"
"🍫☕🍦👍","Cream & Flutter","115361705896308","Jerry Talton","2017-10-29 14:33:48.941+00","Cream & Flutter","114 North Walnut Street, Champaign","Champaign","United States","Illinois"
"🐷🐮🌮🍺😍","Maize at the Station","10155200088205955","Ranjitha Kumar","2017-10-29 14:35:41.772+00","Maize at the Station","100 North Chestnut Street, Champaign","Champaign","United States","Illinois"
"💪❤🥗🥗😁","sweetgreen","878293195646842","Joe Higgs","2017-10-29 23:58:50.137+00","sweetgreen","1000 West Randolph Street, Chicago","Chicago","United States","Illinois"
"🌚🙄🤦‍♀️⌛😒","Burger King","1507101322644203","Ivonne Casas","2017-10-30 01:33:50.177+00","Burger King","1106 West University Avenue, Urbana","Urbana","United States","Illinois"
"😍😊🤤🔥🍚","Lao sze chuan","1270106893044550","Anjali Ramani","2017-10-30 01:35:12.467+00","Lao sze chuan","608 East University Avenue ste. 105, Champaign","Champaign","United States","Illinois"
"🐮🍤🥃🍷😌","Hamilton Walker's","10155200088205955","Ranjitha Kumar","2017-10-30 02:34:02.095+00","Hamilton Walker's","201 North Neil Street, Champaign","Champaign","United States","Illinois"
"🥞🍗🥗🙃😊","Harvest Market","10155200088205955","Ranjitha Kumar","2017-10-30 02:38:37.302+00","Harvest Market","2029 South Neil Street, Champaign","Champaign","United States","Illinois"
"😍🥘🍜","Pho Cafe Thai Kitchen","10212886863311893","Sujay Khandekar","2017-10-30 07:20:24.486+00","Pho Cafe Thai Kitchen","611 East Green Street, Champaign","Champaign","United States","Illinois"
"🥓🍗🍱💕❤","Jip Bap","10156255282978488","Biplab Deka","2017-10-31 17:56:17.94+00","Jip Bap","601 South 6th Street Suite 101, Champaign","Champaign","United States","Illinois"
"☺🐣🍚🐐😊","Ambar India Restaurant","1270106893044550","Anjali Ramani","2017-10-31 20:14:57.213+00","Ambar India Restaurant","605 South Wright Street, Champaign","Champaign","United States","Illinois"
"😹🙄🤢","Lao sze chuan","10212391291791338","Jinda Han","2017-10-31 21:04:07.235+00","Lao sze chuan","608 East University Avenue ste. 105, Champaign","Champaign","United States","Illinois"
"🤑😋🍤🍣","Nabuki","1659104244102907","Dayana Edat","2017-10-31 23:24:06.884+00","Nabuki","18 East 1st Street, Hinsdale","Hinsdale","United States","Illinois"
"🍔🍺🍻😍","Murphy's Pub","100162404055730","Opico Alpaca","2017-11-01 00:14:40.883+00","Murphy's Pub","604 East Green Street, Champaign","Champaign","United States","Illinois"
